Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
2062,2019-06-07 14:45:00,2019-06-07 15:00:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-07 15:00:00,2019-06-07 15:15:00,0,13,0:14:17,0:00:43,0,0,0
2062,2019-06-07 15:15:00,2019-06-07 15:30:00,10,14,0:00:07,0:14:53,2,1,1
2062,2019-06-07 15:30:00,2019-06-07 15:45:00,13,23,0:00:13,0:14:47,2,1,1
2062,2019-06-07 15:45:00,2019-06-07 16:00:00,4,13,0:13:26,0:01:34,2,1,1
2062,2019-06-07 16:00:00,2019-06-07 16:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 16:15:00,2019-06-07 16:30:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-07 16:30:00,2019-06-07 16:45:00,0,5,0:15:00,0:00:00,0,0,0
2062,2019-06-07 16:45:00,2019-06-07 17:00:00,7,26,0:04:25,0:10:35,3,1,2
2062,2019-06-07 17:00:00,2019-06-07 17:15:00,19,36,0:00:10,0:14:50,4,2,2
2062,2019-06-07 17:15:00,2019-06-07 17:30:00,10,34,0:00:16,0:14:44,7,3,4
2062,2019-06-07 17:30:00,2019-06-07 17:45:00,17,22,0:00:17,0:14:43,4,2,2
2062,2019-06-07 17:45:00,2019-06-07 18:00:00,15,28,0:02:38,0:12:22,2,1,1
2062,2019-06-07 18:00:00,2019-06-07 18:15:00,26,92,0:02:15,0:12:45,3,1,2
2062,2019-06-07 18:15:00,2019-06-07 18:30:00,8,14,0:00:00,0:15:00,0,0,0
2062,2019-06-07 18:30:00,2019-06-07 18:45:00,9,15,0:00:00,0:15:00,0,0,0
2062,2019-06-07 18:45:00,2019-06-07 19:00:00,5,19,0:00:01,0:14:59,1,0,1
2062,2019-06-07 19:00:00,2019-06-07 19:15:00,8,16,0:00:00,0:15:00,0,0,0
2062,2019-06-07 19:15:00,2019-06-07 19:30:00,11,26,0:01:23,0:13:37,15,7,8
2062,2019-06-07 19:30:00,2019-06-07 19:45:00,12,30,0:00:52,0:14:08,6,3,3
2062,2019-06-07 19:45:00,2019-06-07 20:00:00,14,24,0:01:02,0:13:58,9,4,5
2062,2019-06-07 20:00:00,2019-06-07 20:15:00,5,18,0:13:36,0:01:24,2,1,1
2062,2019-06-07 20:15:00,2019-06-07 20:30:00,10,24,0:04:01,0:10:59,7,3,4
2062,2019-06-07 20:30:00,2019-06-07 20:45:00,12,21,0:00:08,0:14:52,2,1,1
2062,2019-06-07 20:45:00,2019-06-07 21:00:00,16,23,0:00:00,0:15:00,0,0,0
2062,2019-06-07 21:00:00,2019-06-07 21:15:00,11,20,0:02:13,0:12:47,2,1,1
2062,2019-06-07 21:15:00,2019-06-07 21:30:00,2,15,0:14:06,0:00:54,0,0,0
2062,2019-06-07 21:30:00,2019-06-07 21:45:00,10,24,0:00:00,0:15:00,0,0,0
2062,2019-06-07 21:45:00,2019-06-07 22:00:00,11,30,0:07:26,0:07:34,2,1,1
2062,2019-06-07 22:00:00,2019-06-07 22:15:00,7,22,0:07:10,0:07:50,0,0,0
2062,2019-06-07 22:15:00,2019-06-07 22:30:00,2,13,0:08:45,0:06:15,1,0,1
2062,2019-06-07 22:30:00,2019-06-07 22:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 22:45:00,2019-06-07 23:00:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-07 23:00:00,2019-06-07 23:15:00,0,3,0:15:00,0:00:00,0,0,0
2062,2019-06-07 23:15:00,2019-06-07 23:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-07 23:30:00,2019-06-07 23:45:00,4,18,0:08:25,0:06:35,3,1,2
2062,2019-06-07 23:45:00,2019-06-08 00:00:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-08 00:00:00,2019-06-08 00:15:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-08 00:15:00,2019-06-08 00:30:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-08 00:30:00,2019-06-08 00:45:00,6,29,0:05:56,0:09:04,3,1,2
2062,2019-06-08 00:45:00,2019-06-08 01:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 01:00:00,2019-06-08 01:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 01:15:00,2019-06-08 01:30:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-08 01:30:00,2019-06-08 01:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 01:45:00,2019-06-08 02:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 02:00:00,2019-06-08 02:15:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-08 02:15:00,2019-06-08 02:30:00,0,4,0:15:00,0:00:00,0,0,0
2062,2019-06-08 02:30:00,2019-06-08 02:45:00,1,20,0:12:28,0:02:32,1,0,1
2062,2019-06-08 02:45:00,2019-06-08 03:00:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-08 03:00:00,2019-06-08 03:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 03:15:00,2019-06-08 03:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 03:30:00,2019-06-08 03:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 03:45:00,2019-06-08 04:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 04:00:00,2019-06-08 04:15:00,7,30,0:08:27,0:06:33,1,0,1
2062,2019-06-08 04:15:00,2019-06-08 04:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 04:30:00,2019-06-08 04:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 04:45:00,2019-06-08 05:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 05:00:00,2019-06-08 05:15:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-08 05:15:00,2019-06-08 05:30:00,15,28,0:00:32,0:14:28,1,0,1
2062,2019-06-08 05:30:00,2019-06-08 05:45:00,3,9,0:00:00,0:15:00,0,0,0
2062,2019-06-08 05:45:00,2019-06-08 06:00:00,8,11,0:00:00,0:15:00,0,0,0
2062,2019-06-08 06:00:00,2019-06-08 06:15:00,6,7,0:00:06,0:14:54,2,1,1
2062,2019-06-08 06:15:00,2019-06-08 06:30:00,13,28,0:00:59,0:14:01,7,3,4
2062,2019-06-08 06:30:00,2019-06-08 06:45:00,10,26,0:02:04,0:12:56,9,4,5
2062,2019-06-08 06:45:00,2019-06-08 07:00:00,11,24,0:01:10,0:13:50,7,3,4
2062,2019-06-08 07:00:00,2019-06-08 07:15:00,8,23,0:05:44,0:09:16,7,3,4
2062,2019-06-08 07:15:00,2019-06-08 07:30:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-08 07:30:00,2019-06-08 07:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 07:45:00,2019-06-08 08:00:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-08 08:00:00,2019-06-08 08:15:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-08 08:15:00,2019-06-08 08:30:00,0,2,0:15:00,0:00:00,0,0,0
