Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct
8525,2019-07-26 19:00:00,1,1,1,1,1,1,46.6,100.0
8536,2019-06-09 21:00:00,0,1,1,1,1,1,44.8,100.0
8536,2019-06-13 19:15:00,0,1,1,1,1,1,47.6,100.0
8536,2019-06-17 19:00:00,1,1,1,1,1,1,47.8,100.0
8536,2019-06-21 11:00:00,1,1,1,1,1,1,46.7,100.0
8536,2019-06-25 11:00:00,1,1,1,1,1,1,58.8,100.0
8536,2019-06-26 11:00:00,1,1,1,1,1,1,48.0,100.0
8536,2019-06-27 12:15:00,1,1,1,1,1,1,47.9,100.0
8536,2019-07-17 16:45:00,0,1,1,1,1,1,44.1,100.0
8536,2019-07-18 16:30:00,0,1,1,1,1,1,44.7,100.0
8536,2019-08-26 17:15:00,0,1,1,1,1,1,45.5,100.0
