Experiment,Cow,scan_date,icetag_covered_pm1j,icetag_covered_same_day,alert_present_pm1j,n_alerts_pm1j,Pct_locomotion,Pct_lying,Pct_Idle,Pct_Vigilance,Pct_Explo,Pct_eating,Pct_Social,Pct_Maintenance,Pct_Other
Summer 2019,419,2019-08-02,1,1,0,0,0.0,,0.8333333333333334,,0.1,0.03333333333333333,0.03333333333333333,0.0,0.0
Summer 2019,5857,2019-08-02,1,1,0,0,0.0,,0.7,,0.13333333333333333,0.1,0.0,0.06666666666666667,0.0
Summer 2019,5854,2019-08-02,1,1,0,0,0.0,,0.9333333333333333,,0.06666666666666667,0.0,0.0,0.0,0.0
Summer 2019,5258,2019-08-02,1,1,0,0,0.0,,0.6,,0.4,0.0,0.0,0.0,0.0
Summer 2019,5865,2019-08-02,1,1,0,0,0.0,,0.7333333333333333,,0.26666666666666666,0.0,0.0,0.0,0.0
Summer 2019,5854,2019-08-02,1,1,0,0,0.0,,0.5333333333333333,,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0
Summer 2019,8520,2019-08-08,1,1,0,0,0.03333333333333333,,0.4666666666666667,,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0
Summer 2019,5854,2019-08-08,1,1,0,0,0.0,,0.6,,0.2,0.0,0.16666666666666666,0.03333333333333333,0.03333333333333333
Summer 2019,8536,2019-08-08,1,1,0,0,0.0,,0.8,,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0
Summer 2019,5169,2019-08-08,0,0,0,0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0
Summer 2019,5258,2019-08-08,1,1,0,0,0.0,,0.8666666666666667,,0.13333333333333333,0.0,0.0,0.0,0.0
Summer 2019,5865,2019-08-08,1,1,0,0,0.0,,0.8666666666666667,,0.13333333333333333,0.0,0.0,0.0,0.0
Summer 2019,419,2019-08-08,1,1,1,1,0.0,,0.8666666666666667,,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0
Summer 2019,419,2019-08-16,1,1,1,2,0.13333333333333333,,0.7666666666666667,,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0
Summer 2019,5865,2019-08-16,1,1,0,0,0.03333333333333333,,0.8666666666666667,,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0
Summer 2019,5169,2019-08-16,0,0,0,0,0.03333333333333333,,0.7333333333333333,,0.23333333333333334,0.0,0.0,0.0,0.0
Summer 2019,5857,2019-08-16,1,1,0,0,0.0,,0.6666666666666666,,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0
Summer 2019,8536,2019-08-16,1,1,0,0,0.0,,0.9333333333333333,,0.0,0.0,0.0,0.06666666666666667,0.0
Summer 2019,5854,2019-08-16,1,1,0,0,0.0,,0.7333333333333333,,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0
Summer 2019,8520,2019-08-16,1,1,0,0,0.06666666666666667,,0.5333333333333333,,0.2,0.13333333333333333,0.06666666666666667,0.0,0.0
Summer 2019,419,2019-08-23,1,1,0,0,0.03333333333333333,,0.6666666666666666,,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0
Summer 2019,8520,2019-08-23,1,1,0,0,0.0,,0.8666666666666667,,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0
Summer 2019,5857,2019-08-23,1,1,1,1,0.0,,0.7666666666666667,,0.1,0.1,0.0,0.03333333333333333,0.0
Summer 2019,5169,2019-08-23,0,0,0,0,0.03333333333333333,,0.43333333333333335,,0.23333333333333334,0.1,0.2,0.0,0.0
Summer 2019,8536,2019-08-23,1,1,0,0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0
Summer 2019,5854,2019-08-23,1,1,0,0,0.0,,0.5333333333333333,,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0
Summer 2019,5865,2019-08-23,1,1,0,0,0.0,,0.9333333333333333,,0.06666666666666667,0.0,0.0,0.0,0.0
Fall 2019,8517,2019-12-12,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fall 2019,8526,2019-12-12,1,1,0,0,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
Fall 2019,8527,2019-12-12,1,1,1,1,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
Fall 2019,2057,2019-12-12,1,1,0,0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
Fall 2019,5854,2019-12-12,1,1,0,0,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0
