Experiment,Paddock,Date,Week,Cow,Code,Trt,Pct_locomotion,Pct_lying,Pct_Idle,Pct_Vigilance,Pct_Explo,Pct_eating,Pct_Social,Pct_Maintenance,Pct_Other,jour,temp_jour,rh_jour,THI_jour
Summer2019,15,2019-07-18,3.0,5865,Cat/Cel,60 - 1h,0.0,,0.6,,0.0,0.06666666666666667,0.26666666666666666,0.0,0.0,2019-07-18,22.06368673112657,57.262388418402374,68.12498698347518
Summer2019,2,2019-07-25,4.0,5854,Cactus,60 -2h,0.1,,0.6333333333333333,,0.2,0.06666666666666667,0.0,0.0,0.06666666666666667,2019-07-25,21.196871676974823,68.67097892983392,67.45285829612014
Summer2019,4,2019-07-25,4.0,5865,Cat/Cel,20 - 2h,0.0,,0.7666666666666667,,0.2,0.03333333333333333,0.0,0.0,0.0,2019-07-25,21.196871676974823,68.67097892983392,67.45285829612014
Summer2019,8,2019-07-25,4.0,8536,Blue lines,80 - 2h,0.03333333333333333,,0.6666666666666666,,0.1,0.1,0.03333333333333333,0.06666666666666667,0.0,2019-07-25,21.196871676974823,68.67097892983392,67.45285829612014
Summer2019,10,2019-07-25,4.0,5857,Yellow,60 -1h,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,2019-07-25,21.196871676974823,68.67097892983392,67.45285829612014
Summer2019,14,2019-07-25,4.0,419,Green,40 - 1h,0.0,,0.8666666666666667,,0.13333333333333333,0.0,0.0,0.0,0.0,2019-07-25,21.196871676974823,68.67097892983392,67.45285829612014
Summer2019,16,2019-07-25,4.0,8520,Zebra,80 - 1h,0.06666666666666667,,0.26666666666666666,,0.26666666666666666,0.2,0.2,0.0,0.0,2019-07-25,21.196871676974823,68.67097892983392,67.45285829612014
Summer2019,1,2019-08-02,5.2,8520,zebra,80 - 2h,0.0,,0.6,,0.2,0.16666666666666666,0.03333333333333333,0.0,0.0,2019-08-02,21.858506042023844,58.29527044523429,67.75005556164827
Summer2019,3,2019-08-02,5.2,419,Green,40 - 2h,0.0,,0.8333333333333334,,0.1,0.03333333333333333,0.03333333333333333,0.0,0.0,2019-08-02,21.858506042023844,58.29527044523429,67.75005556164827
Summer2019,7,2019-08-02,5.2,5857,Yellow,60 - 2h,0.0,,0.7,,0.13333333333333333,0.1,0.0,0.06666666666666667,0.0,2019-08-02,21.858506042023844,58.29527044523429,67.75005556164827
Summer2019,9,2019-08-02,5.2,5854,Cactus,80 - 1h,0.0,,0.9333333333333333,,0.06666666666666667,0.0,0.0,0.0,0.0,2019-08-02,21.858506042023844,58.29527044523429,67.75005556164827
Summer2019,11,2019-08-02,5.2,5258,Orange,40 - 1h,0.0,,0.6,,0.4,0.0,0.0,0.0,0.0,2019-08-02,21.858506042023844,58.29527044523429,67.75005556164827
Summer2019,13,2019-08-02,5.2,5865,Cat/Cel,20 - 1h,0.0,,0.7333333333333333,,0.26666666666666666,0.0,0.0,0.0,0.0,2019-08-02,21.858506042023844,58.29527044523429,67.75005556164827
Summer2019,15,2019-08-02,5.2,5854,Cactus,60 - 1h,0.0,,0.5333333333333333,,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.0,2019-08-02,21.858506042023844,58.29527044523429,67.75005556164827
Summer2019,1,2019-08-16,7.2,419,Green,80 - 2h,0.13333333333333333,,0.7666666666666667,,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,2019-08-16,20.399813633691068,73.82076404404208,66.99194231554452
Summer2019,3,2019-08-16,7.2,5865,Cat/Cel,40 - 2h,0.03333333333333333,,0.8666666666666667,,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,2019-08-16,20.399813633691068,73.82076404404208,66.99194231554452
Summer2019,7,2019-08-16,7.2,5169,Unicorn,60 - 2h,0.03333333333333333,,0.7333333333333333,,0.23333333333333334,0.0,0.0,0.0,0.0,2019-08-16,20.399813633691068,73.82076404404208,66.99194231554452
Summer2019,9,2019-08-16,7.2,5857,Yellow,80 - 1h,0.0,,0.6666666666666666,,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,2019-08-16,20.399813633691068,73.82076404404208,66.99194231554452
Summer2019,11,2019-08-16,7.2,8536,Blue lines,40 - 1h,0.0,,0.9333333333333333,,0.0,0.0,0.0,0.06666666666666667,0.0,2019-08-16,20.399813633691068,73.82076404404208,66.99194231554452
Summer2019,13,2019-08-16,7.2,5854,Cactus,20 - 1h,0.0,,0.7333333333333333,,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,2019-08-16,20.399813633691068,73.82076404404208,66.99194231554452
Summer2019,15,2019-08-16,7.2,8520,Zebra,60 - 1h,0.06666666666666667,,0.5333333333333333,,0.2,0.13333333333333333,0.06666666666666667,0.0,0.0,2019-08-16,20.399813633691068,73.82076404404208,66.99194231554452
Summer2019,2,2019-08-23,8.2,419,Green,60 -2h,0.03333333333333333,,0.6666666666666666,,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,2019-08-23,18.16182445400509,64.99750421110659,63.163556310967856
Summer2019,4,2019-08-23,8.2,8520,Zebra,20 - 2h,0.0,,0.8666666666666667,,0.06666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,2019-08-23,18.16182445400509,64.99750421110659,63.163556310967856
Summer2019,6,2019-08-23,8.2,5857,Yellow,40 - 2h,0.0,,0.7666666666666667,,0.1,0.1,0.0,0.03333333333333333,0.0,2019-08-23,18.16182445400509,64.99750421110659,63.163556310967856
Summer2019,8,2019-08-23,8.2,5169,Unicorn,80 - 2h,0.03333333333333333,,0.43333333333333335,,0.23333333333333334,0.1,0.2,0.0,0.0,2019-08-23,18.16182445400509,64.99750421110659,63.163556310967856
Summer2019,12,2019-08-23,8.2,8536,Blue lines,20 - 1h,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,2019-08-23,18.16182445400509,64.99750421110659,63.163556310967856
Summer2019,14,2019-08-23,8.2,5854,Cactus,40 - 1h,0.0,,0.5333333333333333,,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0,2019-08-23,18.16182445400509,64.99750421110659,63.163556310967856
Summer2019,16,2019-08-23,8.2,5865,Cat/Cel,80 - 1h,0.0,,0.9333333333333333,,0.06666666666666667,0.0,0.0,0.0,0.0,2019-08-23,18.16182445400509,64.99750421110659,63.163556310967856
